id;year;day;min;glo_avg;dir_avg;diff_avg;lw_avg;par_avg;lux_avg;tp_sfc;humid;press;rain;ws_10m;wd_10m
10;2019;91;226;-1.446;-0.154;-1.254;350.5;0;0;19.32;87.10;898.15;0;0;0
10;2019;91;227;-1.458;-0.064;-1.254;350.5;0;0;19.32;87.10;898.07;0;0;0
10;2019;91;228;-1.323;-0.131;-1.254;350.4;0;0;19.25;86.90;898.15;0;0;0
10;2019;91;229;-1.253;-0.101;-1.254;350.8;0;0;19.19;86.80;898.15;0;0;0
10;2019;91;230;-1.399;0;-1.254;351.2;0;0;19.14;86.70;897.99;0;0;0
10;2019;91;231;-1.320;-0.011;-1.254;351.3;0;0;19.56;86.80;898.07;0;0;0
10;2019;91;232;-1.174;-0.030;-1.254;351.2;0;0;19.70;86.80;898.07;0;0;0
10;2019;91;233;-1.107;-0.142;-1.254;351.2;0;0;19.35;86.60;898.15;0;0.218;221.4
10;2019;91;234;-0.879;-0.214;-1.254;351.4;0;0;19.43;86.60;897.99;0;0.556;211.2
10;2019;91;235;-0.552;-0.334;-1.254;350.7;0;0;19.32;86.60;897.99;0;0.651;206.1
10;2019;91;236;-0.242;-0.424;-1.168;351.0;0;0;19.25;86.50;897.99;0;0.695;207.1
10;2019;91;237;-0.047;-0.405;-0.956;352.1;0;0;19.50;86.50;897.99;0;0.494;208.4
10;2019;91;238;-0.637;-0.011;-1.115;353.6;0;0;19.61;86.60;897.99;0;0.313;202.1
10;2019;91;239;-1.560;0.105;-1.254;353.5;0;0;19.19;86.60;897.99;0;0.340;198.3
10;2019;91;240;-1.791;0;-1.254;353.7;0;0;19.20;86.80;897.91;0;0.389;200.8
10;2019;91;241;-2.068;0;-1.282;353.3;0;0;19.24;86.90;897.91;0;0.444;208.0
10;2019;91;242;-1.925;0.011;-1.311;354.0;0;0;19.29;86.80;897.83;0;0.465;205.9
10;2019;91;243;-2.200;0.079;-1.505;354.1;0;0;19.37;86.70;897.91;0;0.351;208.4
10;2019;91;244;-1.925;-0.090;-1.486;353.2;0;0;19.32;86.60;897.83;0;0.469;205.5
10;2019;91;245;-1.683;-0.004;-1.369;353.5;0;0;19.25;86.40;897.83;0;0.359;200.2
10;2019;91;246;-1.826;0.075;-1.468;354.6;0;0;19.20;86.30;897.83;0;0.194;201.6
10;2019;91;247;-2.185;0.300;-1.567;354.7;0;0;19.43;86.20;897.83;0;0.216;207.4
10;2019;91;248;-2.060;-0.004;-1.567;354.1;0;0;19.52;86.10;897.83;0;0.076;206.5
10;2019;91;249;-1.434;-0.300;-1.489;352.4;0;0;19.70;85.90;897.83;0;0.021;206.7
10;2019;91;250;0.108;-1.005;-1.194;349.2;0;0;19.27;85.80;897.83;0;0.165;2.5
10;2019;91;251;0.584;-0.641;-0.943;352.2;0;0;19.15;85.70;897.76;0;0.305;214.8
10;2019;91;252;0.505;-0.450;-0.940;353.1;0;0;19.58;85.50;897.76;0;0.198;207.1
10;2019;91;253;0.742;-0.581;-0.940;350.8;0;0;19.47;85.50;897.76;0;0.213;194.4
10;2019;91;254;0.926;-0.735;-0.896;350.4;0;0;19.37;85.60;897.68;0;0.039;212.4
10;2019;91;255;0.359;-0.420;-0.940;353.1;0;0;19.06;85.70;897.68;0;0.356;220.5
